nik,nama,kabupaten,kecamatan,kelurahan,program
3525010504758936,Hendra Darmawan,Kab. Gresik,Gresik,Gresik,PKH (Program Keluarga Harapan)
3524025704739196,Yayuk Raharjo,Kab. Lamongan,Babat,Babat,BPNT (Bantuan Pangan Non Tunai)
3573056605976925,Siti Cahyono,Kota Malang,Lowokwaru,Tlogomas,BST (Bantuan Sosial Tunai)
3514020302815882,Fandi Kusuma,Kab. Pasuruan,Beji,Beji,ASPDB (Disabilitas Berat)
3515031302944804,Agus Pambudi,Kab. Sidoarjo,Candi,Candi,ASPDB (Disabilitas Berat)
3525032201641308,Zainal Hidayat,Kab. Gresik,Menganti,Kepatihan,ASPDB (Disabilitas Berat)
3511014606003433,Fitri Surya,Kab. Bondowoso,Bondowoso,Kademangan,PKH Plus Lansia
3514010812946217,Bambang Ilham,Kab. Pasuruan,Bangil,Kolursari,BST (Bantuan Sosial Tunai)
3525034801806573,Dewi Maulana,Kab. Gresik,Menganti,Boboh,BST (Bantuan Sosial Tunai)
3509022104807518,Ridwan Dwiyanto,Kab. Jember,Patrang,Bintoro,BPNT (Bantuan Pangan Non Tunai)
3514022405949561,Tanto Fauzan,Kab. Pasuruan,Beji,Beji,PBI-JKN (Penerima Bantuan Iuran JKN)
3515026801652622,Nani Pratama,Kab. Sidoarjo,Buduran,Buduran,ASPDB (Disabilitas Berat)
3525025510849065,Rini Saputra,Kab. Gresik,Driyorejo,Sumput,ASPDB (Disabilitas Berat)
3507011002817434,Lutfi Cahyono,Kab. Malang,Kepanjen,Jenggolo,PKH (Program Keluarga Harapan)
3573032802928318,Danu Kurniawan,Kota Malang,Klojen,Gadingkasri,Kemiskinan Ekstrem (2025)
3511010109948006,Bagus Maulana,Kab. Bondowoso,Bondowoso,Kademangan,PKH (Program Keluarga Harapan)
3509034310757963,Endang Irawan,Kab. Jember,Sumbersari,Kebonsari,ASPDB (Disabilitas Berat)
3509020903956933,Taufik Triyono,Kab. Jember,Patrang,Patrang,BPNT (Bantuan Pangan Non Tunai)
3522036207797178,Suwarni Andriyanto,Kab. Bojonegoro,Balen,Sobontoro,Kemiskinan Ekstrem (2025)
3518015901819642,Titik Basuki,Kab. Nganjuk,Nganjuk,Nganjuk,BPNT (Bantuan Pangan Non Tunai)
3507014306624563,Puji Utomo,Kab. Malang,Kepanjen,Ardirejo,PKH Plus Lansia
3518015610966670,Mulyati Jatmiko,Kab. Nganjuk,Nganjuk,Payaman,BPNT (Bantuan Pangan Non Tunai)
3509015507871613,Rina Darmawan,Kab. Jember,Kaliwates,Kebon Agung,PKH (Program Keluarga Harapan)
3517030704667351,Wawan Nurrohman,Kab. Jombang,Ploso,Plandaan,BPNT (Bantuan Pangan Non Tunai)
3517016608640829,Titik Kusuma,Kab. Jombang,Jombang,Kepanjen,PKH Plus Lansia
3522011403753503,Ridwan Jatmiko,Kab. Bojonegoro,Bojonegoro,Klangon,ASPDB (Disabilitas Berat)
3517016605846931,Lilik Hidayat,Kab. Jombang,Jombang,Jombang,PKH Plus Lansia
3573051004699490,Yusuf Wibowo,Kota Malang,Lowokwaru,Tunggulwulung,PKH Plus Lansia
